Timestamp,PID,Name,CPU (%), RAM (MB), RAM (%), Running Time 
2026-09-15T10:51:25+07:00,4858,MainThread,2.08,185.30,2.39,2h16m23.348801947s
2026-09-15T10:51:25+07:00,2626,MainThread,2.10,168.20,2.17,2h19m4.351482535s
2026-09-15T10:51:29+07:00,2850,gopls,3.52,562.45,7.26,2h19m3.345162951s
2026-09-15T10:51:29+07:00,1952,gopls,2.70,240.20,3.10,2h19m48.34320886s
2026-09-15T10:51:29+07:00,1883,MainThread,2.44,147.75,1.91,2h19m51.343086943s
2026-09-15T10:51:29+07:00,2626,MainThread,2.10,168.20,2.17,2h19m8.344355903s
2026-09-15T10:51:29+07:00,4858,MainThread,2.08,185.30,2.39,2h16m27.344258826s
2026-09-15T10:51:29+07:00,4899,MainThread,0.85,851.47,11.00,2h16m22.344312052s
2026-09-15T10:51:29+07:00,2850,gopls,3.52,562.45,7.26,2h19m3.345162951s
2026-09-15T10:51:29+07:00,1952,gopls,2.70,240.20,3.10,2h19m48.34320886s
2026-09-15T10:51:29+07:00,4858,MainThread,2.08,185.30,2.39,2h16m27.344258826s
2026-09-15T10:51:29+07:00,2626,MainThread,2.10,168.20,2.17,2h19m8.344355903s
2026-09-15T11:28:49+07:00,88502,gopls,9.31,369.59,4.77,24m25.455663262s
2026-09-15T11:28:49+07:00,102733,go,8.22,22.33,0.29,5.455906914s
2026-09-15T11:28:49+07:00,86146,MainThread,3.36,252.88,3.27,28m18.455582366s
2026-09-15T11:28:49+07:00,2850,gopls,2.86,527.21,6.81,2h53m27.456452643s
2026-09-15T11:28:49+07:00,2626,MainThread,2.07,173.45,2.24,2h53m32.456659287s
2026-09-15T11:28:49+07:00,4899,MainThread,0.68,851.47,11.00,2h50m46.455759731s
2026-09-15T11:28:49+07:00,2850,gopls,2.86,527.21,6.81,2h53m27.456452643s
2026-09-15T11:28:49+07:00,88502,gopls,9.31,369.59,4.77,24m25.455663262s
2026-09-15T11:28:49+07:00,86146,MainThread,3.36,252.88,3.27,28m18.455582366s
2026-09-15T11:28:49+07:00,1607,MainThread,0.90,206.48,2.67,2h54m20.45645558s
2026-09-15T11:28:53+07:00,88502,gopls,9.28,369.59,4.77,24m29.449701187s
2026-09-15T11:28:53+07:00,102733,go,4.71,22.33,0.29,9.449896959s
2026-09-15T11:28:53+07:00,86146,MainThread,3.36,252.88,3.27,28m22.448799114s
2026-09-15T11:28:53+07:00,2850,gopls,2.86,527.21,6.81,2h53m31.448634861s
2026-09-15T11:28:53+07:00,2626,MainThread,2.07,173.45,2.24,2h53m36.448538063s
2026-09-15T11:28:53+07:00,4899,MainThread,0.68,851.47,11.00,2h50m50.448230307s
2026-09-15T11:28:53+07:00,2850,gopls,2.86,527.21,6.81,2h53m31.448634861s
2026-09-15T11:28:53+07:00,88502,gopls,9.28,369.59,4.77,24m29.449701187s
2026-09-15T11:28:53+07:00,86146,MainThread,3.36,252.88,3.27,28m22.448799114s
2026-09-15T11:28:53+07:00,1607,MainThread,0.90,206.48,2.67,2h54m24.447994373s
2026-09-15T11:28:57+07:00,88502,gopls,9.26,369.59,4.77,24m33.448023966s
2026-09-15T11:28:57+07:00,86146,MainThread,3.36,252.88,3.27,28m26.447963513s
2026-09-15T11:28:57+07:00,102733,go,3.30,22.33,0.29,13.44698712s
2026-09-15T11:28:57+07:00,2850,gopls,2.86,527.21,6.81,2h53m35.448076847s
2026-09-15T11:28:57+07:00,2626,MainThread,2.07,173.45,2.24,2h53m40.448205276s
2026-09-15T11:28:57+07:00,4899,MainThread,0.68,851.47,11.00,2h50m54.447821735s
2026-09-15T11:28:57+07:00,2850,gopls,2.86,527.21,6.81,2h53m35.448076847s
2026-09-15T11:28:57+07:00,88502,gopls,9.26,369.59,4.77,24m33.448023966s
2026-09-15T11:28:57+07:00,86146,MainThread,3.36,252.88,3.27,28m26.447963513s
2026-09-15T11:28:57+07:00,1607,MainThread,0.90,206.48,2.67,2h54m28.446347673s
2026-09-15T11:29:01+07:00,88502,gopls,9.23,369.59,4.77,24m37.44952428s
2026-09-15T11:29:01+07:00,86146,MainThread,3.36,252.88,3.27,28m30.44877707s
2026-09-15T11:29:01+07:00,2850,gopls,2.85,527.21,6.81,2h53m39.450902957s
2026-09-15T11:29:01+07:00,102733,go,2.54,22.33,0.29,17.448064335s
2026-09-15T11:29:01+07:00,2626,MainThread,2.07,173.45,2.24,2h53m44.448755964s
2026-09-15T11:29:01+07:00,4899,MainThread,0.68,851.47,11.00,2h50m58.445120191s
2026-09-15T11:29:01+07:00,2850,gopls,2.85,527.21,6.81,2h53m39.450902957s
2026-09-15T11:29:01+07:00,88502,gopls,9.23,369.59,4.77,24m37.44952428s
2026-09-15T11:29:01+07:00,86146,MainThread,3.36,252.88,3.27,28m30.44877707s
2026-09-15T11:29:01+07:00,1607,MainThread,0.90,206.48,2.67,2h54m32.449127827s
2026-09-15T11:29:05+07:00,88502,gopls,9.21,369.59,4.77,24m41.450200046s
2026-09-15T11:29:05+07:00,86146,MainThread,3.36,252.88,3.27,28m34.450266093s
2026-09-15T11:29:05+07:00,2850,gopls,2.85,527.21,6.81,2h53m43.450120607s
2026-09-15T11:29:05+07:00,2626,MainThread,2.07,173.45,2.24,2h53m48.449485674s
2026-09-15T11:29:05+07:00,102733,go,2.06,22.33,0.29,21.451521224s
2026-09-15T11:29:05+07:00,4899,MainThread,0.68,851.47,11.00,2h51m2.450898809s
2026-09-15T11:29:05+07:00,2850,gopls,2.85,527.21,6.81,2h53m43.450120607s
2026-09-15T11:29:05+07:00,88502,gopls,9.21,369.59,4.77,24m41.450200046s
2026-09-15T11:29:05+07:00,86146,MainThread,3.36,252.88,3.27,28m34.450266093s
2026-09-15T11:29:05+07:00,1607,MainThread,0.90,206.48,2.67,2h54m36.448836906s
2026-09-15T11:29:09+07:00,88502,gopls,9.18,369.59,4.77,24m45.44572889s
2026-09-15T11:29:09+07:00,86146,MainThread,3.36,252.88,3.27,28m38.445939729s
2026-09-15T11:29:09+07:00,2850,gopls,2.85,527.21,6.81,2h53m47.447423143s
2026-09-15T11:29:09+07:00,2626,MainThread,2.07,173.45,2.24,2h53m52.445198709s
2026-09-15T11:29:09+07:00,4858,MainThread,2.05,188.30,2.43,2h51m11.447162231s
2026-09-15T11:29:09+07:00,4899,MainThread,0.68,851.47,11.00,2h51m6.446450353s
2026-09-15T11:29:09+07:00,2850,gopls,2.85,527.21,6.81,2h53m47.447423143s
2026-09-15T11:29:09+07:00,88502,gopls,9.18,369.59,4.77,24m45.44572889s
2026-09-15T11:29:09+07:00,86146,MainThread,3.36,252.88,3.27,28m38.445939729s
2026-09-15T11:29:09+07:00,1607,MainThread,0.90,206.48,2.67,2h54m40.445923949s
2026-09-15T11:29:16+07:00,88502,gopls,9.15,369.59,4.77,24m50.083213031s
2026-09-15T11:29:16+07:00,86146,MainThread,3.36,252.88,3.27,28m43.082537566s
2026-09-15T11:29:16+07:00,2850,gopls,2.85,527.21,6.81,2h53m52.083563346s
2026-09-15T11:29:16+07:00,2626,MainThread,2.07,173.45,2.24,2h53m57.082549163s
2026-09-15T11:29:16+07:00,4858,MainThread,2.05,188.30,2.43,2h51m16.083871902s
2026-09-15T11:29:16+07:00,4899,MainThread,0.68,851.47,11.00,2h51m11.083462941s
2026-09-15T11:29:16+07:00,2850,gopls,2.85,527.21,6.81,2h53m52.083563346s
2026-09-15T11:29:16+07:00,88502,gopls,9.15,369.59,4.77,24m50.083213031s
2026-09-15T11:29:16+07:00,86146,MainThread,3.36,252.88,3.27,28m43.082537566s
2026-09-15T11:29:16+07:00,1607,MainThread,0.89,206.48,2.67,2h54m45.082332385s
